total_population,median_income,unemployed,labor_force,housing_units,state_name,state,year,data_source,unemployment_rate
10367022,60516,273629,5219602,4034684,North Carolina,37,2021,ACS_5yr_2021,5.242334569
773344,68131,13152,424182,316542,North Dakota,38,2021,ACS_5yr_2021,3.100555893
11769923,61938,314406,5981645,4754161,Ohio,39,2021,ACS_5yr_2021,5.256179529
3948136,56956,94856,1902597,1503868,Oklahoma,40,2021,ACS_5yr_2021,4.985606516
4207177,70084,120586,2150814,1658091,Oregon,41,2021,ACS_5yr_2021,5.606528505
12970650,67587,367296,6671309,5147783,Pennsylvania,42,2021,ACS_5yr_2021,5.505606171
3311274,21967,180168,1238879,1196790,Puerto Rico,72,2021,ACS_5yr_2021,14.5428246
1091949,74489,35428,592466,426769,Rhode Island,44,2021,ACS_5yr_2021,5.979752425
5078903,58234,130624,2479690,1976447,South Carolina,45,2021,ACS_5yr_2021,5.267755244
881785,63920,14841,466180,345779,South Dakota,46,2021,ACS_5yr_2021,3.183534257
6859497,58516,179568,3399281,2664791,Tennessee,47,2021,ACS_5yr_2021,5.282528864
28862581,67321,771586,14492816,10239341,Texas,48,2021,ACS_5yr_2021,5.323920486
3231370,79133,58170,1653818,1033651,Utah,49,2021,ACS_5yr_2021,3.51731569
641637,67674,13668,349819,262514,Vermont,50,2021,ACS_5yr_2021,3.907163419
8582479,80615,202807,4552635,3248528,Virginia,51,2021,ACS_5yr_2021,4.454716884
7617364,82400,198259,3958572,2931841,Washington,53,2021,ACS_5yr_2021,5.008346444
1801049,50884,50277,788433,711352,West Virginia,54,2021,ACS_5yr_2021,6.376825932
5871661,67080,109017,3127362,2401818,Wisconsin,55,2021,ACS_5yr_2021,3.48590921
576641,68002,12464,300833,230653,Wyoming,56,2021,ACS_5yr_2021,4.143162485
5028092,59609,120030,2345086,1933150,Alabama,1,2022,ACS_5yr_2022,5.118362397
734821,86370,23035,383078,264376,Alaska,2,2022,ACS_5yr_2022,6.013135706
7172282,72581,186058,3490030,2739136,Arizona,4,2022,ACS_5yr_2022,5.331128959
3018669,56335,71601,1397075,1171694,Arkansas,5,2022,ACS_5yr_2022,5.125064868
39356104,91905,1282055,20168662,13315822,California,6,2022,ACS_5yr_2022,6.356668578
5770790,87598,143483,3205413,2278044,Colorado,8,2022,ACS_5yr_2022,4.476271856
3611317,90213,115050,1955341,1409807,Connecticut,9,2022,ACS_5yr_2022,5.883884192
993635,79325,27315,505728,389000,Delaware,10,2022,ACS_5yr_2022,5.401124715
670587,101722,28264,400930,315785,District of Columbia,11,2022,ACS_5yr_2022,7.049609658
21634529,67917,531896,10629693,8353441,Florida,12,2022,ACS_5yr_2022,5.00386982
10722325,71355,280651,5406476,3946490,Georgia,13,2022,ACS_5yr_2022,5.191015367
1450589,94814,35913,760387,483906,Hawaii,15,2022,ACS_5yr_2022,4.722989741
1854109,70214,34154,912877,675323,Idaho,16,2022,ACS_5yr_2022,3.741358365
12757634,78433,397747,6697663,4968761,Illinois,17,2022,ACS_5yr_2022,5.938593805
6784403,67173,154602,3446205,2653596,Indiana,18,2022,ACS_5yr_2022,4.486152159
3188836,70571,64695,1695226,1290139,Iowa,19,2022,ACS_5yr_2022,3.816305319
2935922,69747,60636,1533709,1148635,Kansas,20,2022,ACS_5yr_2022,3.953553119
4502935,60183,108558,2147538,1769102,Kentucky,21,2022,ACS_5yr_2022,5.054997863
4640546,57852,142144,2180175,1765264,Louisiana,22,2022,ACS_5yr_2022,6.519843591
1366949,68251,28762,714333,580172,Maine,23,2022,ACS_5yr_2022,4.026413451
6161707,98461,168965,3331958,2318124,Maryland,24,2022,ACS_5yr_2022,5.071042312
6984205,96505,206164,3882906,2740995,Massachusetts,25,2022,ACS_5yr_2022,5.309528482
10057921,68505,302167,5018590,4009253,Michigan,26,2022,ACS_5yr_2022,6.020954093
5695292,84313,123497,3116753,2256126,Minnesota,27,2022,ACS_5yr_2022,3.962360829
2958846,52985,85519,1344337,1121269,Mississippi,28,2022,ACS_5yr_2022,6.361425744
6154422,65920,132657,3107514,2458324,Missouri,29,2022,ACS_5yr_2022,4.268910776
1091840,66341,21635,559429,443917,Montana,30,2022,ACS_5yr_2022,3.867336159
1958939,71722,32157,1054285,776379,Nebraska,31,2022,ACS_5yr_2022,3.050124018
3104817,71646,109909,1578524,1163671,Nevada,32,2022,ACS_5yr_2022,6.962770284
1379610,90845,27426,770353,545116,New Hampshire,33,2022,ACS_5yr_2022,3.560186045
9249063,97126,307824,4939081,3438162,New Jersey,34,2022,ACS_5yr_2022,6.232414492
2112463,58722,59989,976697,812852,New Mexico,35,2022,ACS_5yr_2022,6.142027671
